Mountain,Metres,Feet,Range,Location_and_Notes
Mount Everest,"8,848","29,029",Himalayas,Nepal/China 
K2,"8,611","28,251",Karakoram,Pakistan/China Highest in Pakistan 
Kangchenjunga,"8,586","28,169",Himalayas,Nepal/India 
Lhotse,"8,516","27,94",Himalayas,Nepal/China Climbers ascend Lhotse Face in climbing Everest 
Makalu,"8,485","27,838",Himalayas,Nepal/China 
Cho Oyu,"8,201","26,906",Himalayas,"Nepal/China Considered ""easiest"" eight-thousander "
Dhaulagiri,"8,167","26,795",Himalayas,Nepal Presumed world's highest from 1808-1838 
Manaslu,"8,163","26,781",Himalayas,Nepal 
Nanga Parbat,"8,126","26,66",Himalayas,Pakistan 
Annapurna,"8,091","26,545",Himalayas,Nepal First eight-thousander to be climbed (1950) 
Gasherbrum I,"8,08","26,509",Karakoram,Pakistan/China Originally named K5 
Broad Peak,"8,051","26,414",Karakoram,Pakistan/China Originally named K3 
Gasherbrum II,"8,035","26,362",Karakoram,Pakistan/China Originally named K4 
Shishapangma,"8,027","26,335",Himalayas,China 
Gasherbrum III,"7,952","26,089",Karakoram,Pakistan 
Gyachung Kang,"7,952","26,089",Himalayas,Nepal (Khumbu)/China 
Annapurna II,"7,937","26,04",Himalayas,Nepal 
Gasherbrum IV,"7,932","26,024",Karakoram,Pakistan 
Himalchuli,"7,893","25,896",Himalayas,"Manaslu, Nepal "
Distaghil Sar,"7,885","25,869",Karakoram,Pakistan 
Ngadi Chuli,"7,871","25,823",Himalayas,"Manaslu, Nepal "
Nuptse,"7,861","25,791",Himalayas,"Everest Massif, Nepal "
Khunyang Chhish,"7,852","25,761",Karakoram,Pakistan 
Masherbrum,"7,821","25,659",Karakoram,Pakistan Originally named K1 
Nanda Devi,"7,816","25,643",Himalayas,India (Uttarakhand) 
Chomo Lonzo,"7,804","25,604",Himalayas,"Makalu Massiff, Nepal/China "
Batura Sar,"7,795","25,574",Karakoram,Pakistan 
Kanjut Sar,"7,79","25,558",Karakoram,Pakistan 
Rakaposhi,"7,788","25,551",Karakoram,Pakistan 
Namcha Barwa,"7,782","25,531",Himalayas,China 
Kamet,"7,756","25,446",Himalayas,India (Uttarakhand) 
Saltoro Kangri,"7,742","25,4",Karakoram,India (Jammu and Kashmir)/Pakistan 
Jannu,"7,71","25,295",Himalayas,"Kangchenjunga, Nepal "
Tirich Mir,"7,708","25,289",Hindu Kush,Pakistan #1 in Hindu Kush 
Molamenqing,"7,703","25,272",Himalayas,"Shishapangma group, China "
Gurla Mandhata,"7,694","25,243",Himalayas (Nalakankar),China 
Saser Kangri,"7,672","25,171",Karakoram,India (Jammu and Kashmir) 
Chogolisa,"7,665","25,148",Karakoram,Pakistan 
Kongur Tagh,"7,649","25,095",Pamir or Kunlun Mountains,China 
Shispare,"7,611","24,97",Karakoram,Pakistan 
Silberzacken,"7,597","24,925",Himalaya,Pakistan 
Changtse,"7,583","24,879",Himalayas,"Everest Massif, China "
Trivor,"7,577","24,859",Karakoram,Karakoram Pakistan 
Gangkhar Puensum,"7,57","24,836",Himalayas,Bhutan/China 
Gongga Shan,"7,556","24,79",Daxue Shan,"Sichuan, China "
Annapurna III,"7,555","24,787",Himalayas,Nepal 
Kula Kangri,"7,554","24,783",Himalayas,China (possibly also Bhutan) 
Muztagh Ata,"7,546","24,757",Kongur Tagh,China (Xinjiang) 
Skyang Kangri,"7,545","24,754",Karakoram,Pakistan 
Liankang Kangri,"7,535","24,721",Himalayas,Bhutan/China 
Yukshin Gardan Sar,"7,53","24,705",Karakoram,Pakistan 
Annapurna IV,"7,525","24,688",Himalayas,Nepal 
Saser Kangri II,"7,518","24,665",Karakoram,India (Jammu and Kashmir) 
Mamostong Kangri,"7,516","24,659",Karakoram,India (Jammu and Kashmir) 
Ismoil Somoni Peak,"7,495","24,59",Pamir Mountains,Tajikistan 
Saser Kangri III,"7,495","24,59",Karakoram,India (Jammu and Kashmir) 
Noshaq,"7,492","24,58",Hindu Kush,Afghanistan #1 in Afghanistan 
Pumari Chhish,"7,492","24,58",Karakoram,Pakistan 
Passu Sar,"7,476","24,528",Karakoram,Pakistan 
Malubiting,"7,458","24,469",Karakoram,Pakistan 
Gangapurna,"7,455","24,459",Annapurna Himalaya,Nepal 
Muchu Chhish (Batura V),"7,453","24,452",Karakoram,Pakistan 
Jengish Chokusu,"7,439","24,406",Tian Shan,China/Kyrgyzstan #1 in Tian Shan 
K12,"7,428","24,37",Karakoram,Pakistan (Jammu and Kashmir)/India 
Sia Kangri,"7,422","24,35",Karakoram,Pakistan 
Istor-o-Nal,"7,403","24,288",Hindu Kush,Pakistan 
Ghent Kangri,"7,401","24,281",Karakoram,India (Jammu and Kashmir)/Pakistan 
Haramosh Peak,"7,397","24,268",Karakoram,Pakistan 
Kabru,"7,394","24,259",Himalayas,"Kanchenjunga, India (Sikkim)/Nepal "
Ultar,"7,388","24,239",Karakoram,Pakistan 
Rimo I,"7,385","24,229",Karakoram,India (Jammu and Kashmir) 
Sherpi Kangri,"7,38","24,213",Karakoram,Pakistan 
Labuche Kang,"7,367","24,17",Himalayas,"near Cho Oyu, Nepal/China "
Kirat Chuli,"7,365","24,163",Himalayas,Nepal/India (Sikkim) border 
Skil Brum,"7,36","24,147",Karakoram,"Pakistan May also be given as 7,410�m "
Gimmigela Chuli,"7,35","24,114",Himalayas,Nepal/India (Sikkim) border 
Bojohagur Duanasir,"7,329","24,045",Karakoram,Pakistan 
Chamlang,"7,319","24,012",Himalayas,"Khumbu, Nepal "
Jomolhari / Chomolhari,"7,314","23,996",Himalayas,Bhutan/China 
Baltoro Kangri,"7,312","23,99",Karakoram,Pakistan 
Siguang Ri,"7,308","23,976",Himalayas,China 
The Crown,"7,295","23,934",Karakoram,China (Xinjiang) 
Gyala Peri,"7,294","23,93",Himalayas,China 
Porong Ri,"7,292","23,924",Himalayas,China 
Baintha Brakk,"7,285","23,901",Karakoram,Pakistan 
Yutmaru Sar,"7,283","23,894",Karakoram,Pakistan 
K6,"7,282","23,891",Karakoram,Pakistan Also known as Baltistan Peak 
Kangpenqing,"7,281","23,888",Himalayas,China 
Mana Peak,"7,272","23,858",Himalayas,India (Uttarakhand) SSE of Kamet 
Muztagh Tower,"7,273","23,862",Karakoram,Pakistan 
Diran,"7,257","23,809",Karakoram,Pakistan 
Apsarasas Kangri,"7,245","23,77",Karakoram,China/India 
Langtang Lirung,"7,227","23,711",Himalayas,Nepal 
Annapurna South,"7,219","23,684",Himalayas,Nepal 
Khartaphu,"7,213","23,665",Himalayas,China 
Tongshanjiabu,"7,207","23,645",Himalayas,Bhutan/China 
Langtang Ri,"7,205","23,638",Himalayas,Nepal/China 
Kangphu Kang,"7,204","23,635",Himalayas,Bhutan/China 
Lupghar Sar,"7,2","23,622",Karakoram,Pakistan 
Melungtse,"7,181","23,56",Rolwaling Himalayas,China 
Liushi Shan,"7,167","23,514",Kunlun,China #1 in Kunlun 
Baruntse,"7,162","23,497",Himalayas,"Khumbu, Nepal "
Pumori,"7,161","23,494",Himalayas,"Khumbu, Nepal "
Hardeol,"7,151","23,461",Himalayas,India (Uttarakhand) 
Gasherbrum V,"7,147","23,448",Karakoram,Pakistan 
Latok I,"7,145","23,442",Karakoram,Pakistan 
Nemjung,"7,14","23,425",Himalayas,Nepal 
Udren Zom,"7,14","23,425",Hindu Kush,Pakistan 
Chaukhamba,"7,138","23,419",Himalayas,India (Uttarakhand) 
Nun Kun,"7,135","23,409",Karakoram,India (Jammu and Kashmir) 
Tilicho Peak,"7,134","23,406",Himalayas,"Annapurna Himal, Nepal "
Gauri Sankar,"7,134","23,406",Rolwaling Himalayas,Nepal/China 
Lenin Peak,"7,134","23,406",Pamir Mountains,Tajikistan-Kyrgyzstan #2 in Pamirs 
Api,"7,132","23,399",Himalayas,Nepal 
Pauhunri,"7,128","23,386",Himalayas,India (Sikkim)/China 
Trisul,"7,12","23,36",Himalayas,India (Uttarakhand) 
Korzhenevskaya,"7,105","23,31",Pamir Mountains,Tajikistan #3 in Pamirs 
Lunpo Gangri,"7,095","23,278",Himalayas (Gangdise),China 
Satopanth,"7,075","23,212",Himalayas,India (Uttarakhand) 
Tirsuli,"7,074","23,209",Himalayas,India (Uttarakhand) 
Dunagiri,"7,066","23,182",Himalayas,India (Uttarakhand) 
Kangto,"7,06","23,163",Himalayas,India (Arunachal Pradesh)/China 
Nyegyi Kansang,"7,047","23,12",Himalayas,India (Arunachal Pradesh)/China 
Link Sar,"7,041","23,1",Karakoram,Pakistan 
Kezhen Peak,"7,038","23,091",Karakoram,China (Xinjiang) 
Shah Dhar,"7,038","23,091",Hindu Kush,Afghanistan/Pakistan 
Spantik,"7,027","23,054",Karakoram,Pakistan 
Khan Tengri,"7,01","22,999",Tian Shan,Kyrgyzstan-Kazakhstan-China #2 in Tian Shan 
Machapuchare,"6,993","22,943",,"Annapurna Himalaya, Nepal Officially unclimbed (attempts not allowed) "
Laila Peak (Haramosh Valley),"6,985","22,917",,"Karakoram, Pakistan "
Kang Guru,"6,981","22,904",,"Manaslu Himalaya, Nepal 2005 avalanche kills 18 "
Gasherbrum VI,"6,979","22,897",,"Karakoram, Pakistan "
Karun Kuh,"6,977","22,89",,"Karakoram, Pakistan "
Avicenna Peak,"6,974","22,881",,"Pamir Mountains, Tajikistan #3 in Pamirs "
Ulugh Muztagh,"6,973","22,877",,"Kunlun Mountains, Often misquoted as 7,723�m "
Aconcagua,"6,962","22,841",,"Andes, Argentina Highest in both the Western and Southern Hemispheres "
Napko Kangri,"6,956","22,822",,"Karakoram, China "
Kedarnath (mountain),"6,94","22,769",,"Himalayas, India "
K7,"6,934","22,749",,Karakoram Pakistan 
Panchchuli,"6,904","22,651",,"Himalayas, India "
Thalay Sagar,"6,904","22,651",,"Himalayas, India "
Lunkho e Dosare,"6,901","22,641",,"Hindu Kush, Afghanistan-Pakistan "
Lunag Ri,"6,895","22,621",,"Himalaya, Nepal-China "
Ojos del Salado,"6,891","22,608",,"Andes, Argentina-Chile Highest volcano on Earth "
Siniolchu,"6,888","22,598",,"Kangchenjunga Himalaya, India (Sikkim) "
Kanjiroba,"6,883","22,582",,"Himalayas, Nepal "
Bairiga,"6,882","22,579",,Kangri Garpo 
Koyo Zom,"6,872","22,546",,"Hindu Kush, Pakistan "
Nanda Kot,"6,861","22,51",,"Himalayas, India (Uttarakhand) "
Kubi Gangri,"6,859","22,503",,"Himalayas, Nepal/China "
Angel Sar,"6,858","22,5",,"Karakoram, Pakistan "
Bhagirathi I,"6,856","22,493",,"Himalayas, India (Uttarakhand) "
Jethi Bahurani,"6,85","22,474",,"Himalayas, Nepal "
Chongra Peak,"6,83","22,408",,"Nanga Parbat Himalaya, Pakistan "
Reo Purgyil,"6,816","22,362",,"Western Himalaya, India border Highest in Himachal Pradesh "
Ama Dablam,"6,812","22,349",,"Himalayas, Nepal (Khumbu) "
Monte Pissis,"6,795","22,293",,"Andes, Argentina Third highest in Western Hemisphere "
Biarchedi,"6,781","22,247",,"Karakoram, Pakistan "
Huascar?n Sur,"6,768","22,205",,"Andes, Peru Highest "
Cerro Bonete,"6,759","22,175",,"Andes, Argentina "
Nevado Tres Cruces,"6,749","22,142",,"Andes, Argentina/Chile "
Kawagarbo,"6,74","22,113",,"Himalayas, China "
Llullaillaco,"6,739","22,11",,"Andes, Argentina/Chile "
Cho Polu,"6,735","22,096",,"Himalayas, Nepal (Khumbu) "
Kangju Kangri,"6,725","22,064",,"Karakoram, India (Jammu and Kashmir) "
Changla,"6,721","22,051",,"Himalayas, Nepal/China "
Mercedario,"6,72","22,047",,"Andes, Argentina "
Mount Pandim,"6,691","21,952",,"Himalayas, India (Sikkim) "
Num Ri,"6,677","21,906",,"Himalayas, Nepal (Khumbu) "
Lungser Kangri,"6,666","21,87",,"Ladakh, Himalayas, India (Jammu and Kashmir) "
Meru Peak,"6,66","21,85",,"Himalayas, India "
Gul Lasht Zom,"6,657","21,841",,"Hindu Kush, Pakistan "
Huascar?n Norte,"6,655","21,834",,"Andes, Peru "
Khumbutse,"6,64","21,785",,"Himalayas, Nepal (Khumbu)/China First peak west of Everest "
Mount Kailash,"6,638","21,778",,"Transhimalaya, western China Officially unclimbed (attempts not allowed) "
Yerupaj?,"6,635","21,768",,"Andes, Peru "
Nevado Tres Cruces Central,"6,629","21,749",,"Andes, Chile "
Thamserku,"6,623","21,729",,"Himalayas, Nepal (Khumbu) "
Geladaindong Peak,"6,621","21,722",,"Tanggula, China (Qinghai) "
Incahuasi,"6,621","21,722",,"Andes, Argentina/Chile "
Pangpoche,"6,62","21,719",,"Himalayas, Nepal "
Manirang,"6,597","21,644",,"Himalayas, India (Himachal Pradesh) "
Nilkantha,"6,596","21,64",,"Himalayas, India (Uttarakhand) "
Phuparash Peak,"6,574","21,568",,"Karakoram, Pakistan "
Sickle Moon Peak,"6,574","21,568",,"Himalayas, India (Jammu and Kashmir) "
Buni Zom,"6,542","21,463",,"Hindu Raj, Pakistan "
Nevado Sajama,"6,542","21,463",,"Andes, Bolivia Highest "
Ghamubar Zom,"6,518","21,385",,"Hindu Kush, Pakistan "
Singu Chuli,"6,501","21,329",,"Annapurna Himalayas, Nepal "
Taboche,"6,501","21,329",,"Himalayas, Nepal (Khumbu) "
Cerro El Muerto,"6,488","21,286",,"Andes, Argentina/Chile "
Mera Peak,"6,476","21,247",,"Himalayas, Nepal (Khumbu) "
Hiunchuli,"6,441","21,132",,"Annapurna Himalaya, Nepal "
Cholatse,"6,44","21,129",,"Himalayas, Nepal (Khumbu) "
Illimani,"6,438","21,122",,"Andes, Bolivia "
Ancohuma,"6,427","21,086",,"Andes, Bolivia "
Coropuna,"6,425","21,079",,"Andes, Peru "
Antofalla,"6,409","21,027",,"Andes, Argentina "
Kang Yatze,"6,4","20,997",,"Ladakh, Himalayas, India (Jammu and Kashmir) "
Huandoy,"6,395","20,981",,"Andes, Peru "
Ausangate,"6,384","20,945",,"Andes, Peru "
Illampu,"6,368","20,892",,"Andes, Bolivia "
Kusum Kangguru,"6,367","20,889",,"Himalayas, Nepal (Khumbu) "
Kinnaur Kailash,"6,349","20,83",,"Himalayas, Kinnaur, India (Himachal Pradesh) "
Parinaquta,"6,348","20,827",,"Andes, Bolivia/Chile "
Siula Grande,"6,344","20,814",,"Andes, Peru "
Bamba Dhura,"6,334","20,781",,"Himalayas, India (Uttarakhand) "
Ampato,"6,288","20,63",,"Andes, Peru "
Amne Machin,"6,282","20,61",,"Kunlun Mountains, China (Qinghai) "
Pomerape,"6,282","20,61",,"Andes, Bolivia/Chile "
Salcantay,"6,271","20,574",,"Andes, Peru "
Chimborazo,"6,267","20,561",,"Andes, Ecuador Furthest point from Earth's center "
Mount Siguniang,"6,25","20,505",,"Qionglai Mountains, China (Sichuan) "
Grid Nie Mountain,"6,224","20,42",,"Hengduan Mountains, China (Sichuan) "
Yuzhu Peak,"6,224","20,42",,"Kunlun Mountains, China (Qinghai) "
Genyen Massif,"6,204","20,354",,"Shaluli Range, China (Sichuan) "
Kongde Ri,"6,187","20,299",,"Himalayas, Nepal (Khumbu) "
Aucanquilcha,"6,176","20,262",,"Andes, Chile "
Imja Tse,"6,189","20,305",,"Himalayas, Nepal (Khumbu) "
Denali (Mt. McKinley),"6,168","20,236",,"Alaska Range, United States (Alaska) Highest in North America "
Stok Kangri,"6,137","20,135",,"Himalayas, India (Jammu and Kashmir) "
Lobuche,"6,119","20,075",,"Himalayas, Nepal (Khumbu) "
Marmolejo,"6,108","20,039",,"Andes, Argentina/Chile "
Laila Peak (Hushe Valley),"6,096",20,,"Karakoram, Pakistan "
Pisang Peak,"6,091","19,984",,"Annapurna Himalaya, Nepal "
Huayna Potos?,"6,088","19,974",,"Andes, Bolivia "
Aracar,"6,082","19,954",,"Andes, Argentina "
Chachakumani,"6,074","19,928",,"Andes, Bolivia "
Chachani,"6,057","19,872",,"Andes, Peru "
Mianzimu,"6,054","19,862",,"Yunnan, China "
Acotango,"6,052","19,856",,"Andes, Bolivia/Chile "
Socompa,"6,051","19,852",,"Andes, Argentina/Chile "
Minglik Sar,"6,005","19,849",,"Karakoram, Pakistan "
Acamarachi,"6,046","19,836",,"Andes, Chile "
Shayaz,"6,026","19,77",,"Hindu Kush, Pakistan "
Hualca Hualca,"6,025","19,767",,"Andes, Peru "
Uturunku,"6,002","19,751",,"Andes, Bolivia "
Mitre Peak,"6,001","19,718",Himalaya,"Karakoram, Pakistan "
Laila Peak,"5,971","19,59",Saint Elias Mountains,Pakistan 
Mount Logan,"5,959","19,551",Andes,"Yukon, Canada Highest in Canada "
Alpamayo,"5,947","19,511",Andes,Peru 
Cerro L?pez,"5,929","19,452",Andes,Bolivia 
Licancabur,"5,92","19,423",Hindu Kush,Bolivia/Chile 
Falak Sar,"5,918","19,416",Andes,Pakistan 
Cotopaxi,"5,897","19,347",Eastern Rift Mountains,Ecuador Second highest in Ecuador 
Mount Kilimanjaro,"5,895","19,341",Himalayas,Tanzania Highest in Africa 
Hkakabo Razi,"5,881","19,295",Andes,Myanmar Highest in Myanmar and Southeast Asia 
San Jos?,"5,856","19,213",Andes,Chile 
El Misti,"5,822","19,101",Altyn-Tagh,Peru 
Altun Shan,"5,798","19,022",Andes,"Gansu, China "
Cayambe,"5,79","18,996",Sierra Nevada de Santa Marta,Ecuador Third highest in Ecuador 
Pico Crist?bal Col?n,"5,776","18,95",Andes,Colombia Highest coastal mountain 
Antisana,"5,753","18,875",Andes,Ecuador 
Nevado Pisco,"5,752","18,871",Andes,Peru 
Nevado Anallajsi,"5,75","18,865",Khumbu Himalayas,Bolivia 
Pokalde,"5,745","18,848",Andes,Nepal 7 km SW of Everest 
Ubinas,"5,672","18,609",Andes,Peru Active volcano (2006) 
Pichu Pichu,"5,664","18,583",Caucasus Mountains,Peru 
Mount Elbrus,"5,642","18,51",Karakoram,"North Caucasus, Russia Highest in Caucasus "
Mehrbani Peak,"5,639","18,501",Trans-Mexican Volcanic Belt,Pakistan 
Pico de Orizaba,"5,636","18,491",Alborz,Mexico Highest in Mexico 
Mount Damavand,"5,61","18,406",Andes,"Iran Highest in Iran and ME, highest volcano in Asia "
Nevado Mismi,"5,597","18,363",Hengduan Mountains,Peru Glacial source of the Amazon River 
Jade Dragon Snow Mountain,"5,596","18,36",Andes,"Yunnan, China "
Lascar Volcano,"5,592","18,346",Min Mountains,Chile 
Mount Xuebaoding,"5,588","18,333",Khumbu Himalayas,"Sichuan, China "
Kala Patthar,"5,545","18,192",Saint Elias Mountains,Nepal Popular trekking peak 
Mount Saint Elias,"5,489","18,009",Pamir Mountains,"Yukon, Canada/Alaska, USA Second highest in both countries "
Concord Peak,"5,469","17,943",Himalaya,Afghanistan�Tajikistan 
Machoi Peak,"5,458","17,907",Andes,India (Jammu and Kashmir) 
El Plomo,"5,45","17,881",Tien Shan,Chile 
Bogda Feng,"5,445","17,864",Min Mountains,"Xinjiang, China "
Mount Little Xuebaoding,"5,443","17,858",Andes,"Sichuan, China "
Cerro El Plomo,"5,434","17,828",Trans-Mexican Volcanic Belt,Chile Largest peak visible from Santiago on clear days 
Popocat?petl,"5,426","17,802",Himalaya,Mexico Second highest in Mexico 
Kolahoi Peak,"5,425","17,799",Andes,India (Jammu and Kashmir) Highest in Kashmir Valley 
Chacaltaya,"5,421","17,785",Qionglai Range,Bolivia 
Mount Pomiu,"5,413","17,759",Andes,"Sichuan, China "
Ritacuba Blanco,"5,41","17,749",Himalaya,Colombia 
Haba Xueshan,"5,396","17,703",Andes,"Yunnan, China "
Nevado del Ruiz,"5,389","17,68",Andes,"Colombia 23,000 people died in 1985 eruption "
Nevado del Huila,"5,364","17,598",Andes,Colombia 
El Altar,"5,32","17,454",Alaska Range,Ecuador 
Mount Foraker,"5,304","17,402",Himalaya,"Alaska, USA "
Mount Haramukh,"5,3","17,388",Andes,India (Jammu and Kashmir) 
Nevado del Tolima,"5,276","17,31",Andes,Colombia 
Maipo,"5,264","17,27",Andes,Argentina/Chile 
Illiniza,"5,248","17,218",Himalaya,Ecuador 
Sirbal Peak,"5,236","17,178",Andes,"Kashmir Valley, India (Jammu and Kashmir) "
Sangay,"5,23","17,159",Trans-Mexican Volcanic Belt,Ecuador 
Iztacc?huatl,"5,23","17,159",Saint Elias Mountains,Mexico Third highest in Mexico 
Mount Lucania,"5,226","17,146",Caucasus Mountains,"Yukon, Canada Third highest in Canada "
Dykh-Tau,"5,205","17,077",Caucasus Mountains,"North Caucasus, Russia Second highest in the Caucasus "
Shkhara,"5,201","17,064",,Georgia Highest in Georgia 
Mount Kenya,"5,199","17,057",Himalaya,"Kenya Highest in Kenya, Second highest in Africa "
Malika Parbat,"5,19","17,028",Himalaya,"Kaghan Valley, Pakistan Highest in Kaghan Valley of Pakistan "
Amarnath Peak,"5,186","17,014",Saint Elias Mountains,"Kashmir Valley, India (Jammu and Kashmir) "
King Peak,"5,173","16,972",Teskey Ala-Too,"Yukon, Canada Fourth highest in Canada "
